Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 18.18      0.20     0.20        1   200.00   200.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned long>::__value, unsigned long*>::__type std::__fill_n_a<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
 10.91      0.32     0.12      755     0.16     0.33  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::erase_children(tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::iterator_base const&)
  8.18      0.41     0.09     1156     0.08     0.08  ACE_Cached_Mem_Pool_Node<Document>::set_next(ACE_Cached_Mem_Pool_Node<Document>*)
  6.36      0.48     0.07  1316574     0.00     0.00  htmlcxx::HTML::Node::isTag() const
  6.36      0.55     0.07  1315708     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::append_child<tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator>(tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator, htmlcxx::HTML::Node const&)
  5.45      0.61     0.06      252     0.24     1.18  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::replace<tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator>(tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator, tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::iterator_base const&)
  4.55      0.66     0.05  2603643     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin()
  4.55      0.71     0.05      120     0.42     3.65  HtmlParser::ParseText()
  2.73      0.74     0.03  2660816     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, false>::_Rb_tree_impl(std::less<std::string> const&, std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  2.73      0.77     0.03  2603301     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  2.27      0.80     0.03  1317718     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator::operator++()
  1.82      0.82     0.02  2660984     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::allocator(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  1.82      0.84     0.02  1445565     0.00     0.00  std::_List_iterator<std::string>::operator++()
  1.82      0.86     0.02   205367     0.00     0.00  DBManager::readDB(int, std::string, timeval*)
  1.82      0.88     0.02   116681     0.00     0.00  ACE_Unmanaged_Singleton<URL_Queue, ACE_Null_Mutex>::instance()
  1.82      0.90     0.02      133     0.15     2.46  HtmlParser::getBaseTag(Document*)
  1.36      0.91     0.02  6581717     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator::pre_order_iterator(tree_node_<htmlcxx::HTML::Node>*)
  1.36      0.93     0.02                             std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert_unique(std::pair<std::string const, std::string> const&)
  0.91      0.94     0.01  6582199     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::iterator_base::iterator_base(tree_node_<htmlcxx::HTML::Node>*)
  0.91      0.95     0.01  2921388     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_get_Node_allocator() const
  0.91      0.96     0.01  2660892     0.00     0.00  htmlcxx::HTML::Node::Node(htmlcxx::HTML::Node const&)
  0.91      0.97     0.01  2603619     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::~_Rb_tree()
  0.91      0.98     0.01  2603296     0.00     0.00  htmlcxx::HTML::Node::~Node()
  0.91      0.99     0.01   891679     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.91      1.00     0.01   321265     0.00     0.00  ACE_OS::thread_mutex_unlock(pthread_mutex_t*)
  0.91      1.01     0.01   260520     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base*)
  0.91      1.02     0.01   206931     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.91      1.03     0.01   104296     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_M_begin()
  0.91      1.04     0.01   103282     0.00     0.00  ImageURLFIlter::doFilter(std::string)
  0.91      1.05     0.01   103247     0.00     0.00  HtmlParser::insertQueue(std::string)
  0.91      1.06     0.01     1260     0.01     0.01  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::end() const
  0.91      1.07     0.01                             ACE_OS::memset(void*, int, unsigned long)
  0.91      1.08     0.01                             std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_rightmost()
  0.45      1.08     0.01  2603657     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~allocator()
  0.45      1.09     0.01  2603620     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~new_allocator()
  0.45      1.09     0.01  2417072     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::iterator_base::operator->() const
  0.45      1.10     0.01  1317676     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator::operator!=(tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator const&) const
